date,a,b,c,d,e,f,g,h,j,k,l,m,open
2015/7/22,12365,200.8,166.5,6.2095,53.45,127000,11983.33,667328,8100,197.55,118.25,8100,12150
2015/7/23,12235,203.2,165,6.2095,53.04,126900,11983.33,580148,8100,196.95,118.04,8100,12240
2015/7/24,11940,200,162.5,6.2095,52.08,127150,11906.67,648000,8100,194.85,117.74,8100,11900
2015/7/27,11895,194.1,158,6.2095,51.3,128250,11870,622298,8100,193.75,116.42,8100,11920
2015/7/28,11680,191.6,158.5,6.2094,50.55,128730,11850,606752,8100,192.9,115.36,8100,11745
2015/7/29,11905,193.6,158.5,6.2091,50.83,129970,11830,606708,8100,193.3,114.82,8100,11760
2015/7/30,11895,195.4,158.5,6.2096,51.46,132110,11820,518246,8100,192.15,114.04,8100,11930
2015/7/31,11815,192.8,158.3,6.2097,50.51,133050,11806.67,528348,8100,190.6,113.44,8100,11910
2015/8/3,11900,186.7,156,6.2097,48.4,133100,11806.67,703834,8100,187.6,111.88,8100,11780
2015/8/4,11530,184.7,155.8,6.2096,47.9,135930,11820,825132,8100,186.15,109.76,8100,11420
2015/8/5,11270,184.7,155.8,6.2096,47.89,137100,11753.33,666268,8100,186.45,109.12,8100,11100
2015/8/6,11140,189,155,6.2097,47.09,137090,11706.67,513684,8100,186.65,108.49,8100,11125
2015/8/7,11105,184.6,201.3327889,6.2097,46.95,138870,11673.33,745384,8100,186.5,107.56,8100,11000
2015/8/10,11025,185.8,201.3327889,6.2097,47.32,139160,11513.33,525944,8100,185.85,107.15,8100,11000
2015/8/11,10975,185.2,151.3,6.3231,47.66,139130,11460,693314,8100,184.65,106.84,8100,10970
2015/8/12,10975,183,149.2,6.387,47.09,140220,11353.33,741624,8100,182,104.59,8100,10975
2015/8/13,10885,183,148.1,6.399,47.29,141430,11353.33,720912,8100,181,105.08,8100,10900
2015/8/14,10885,182.4,145.7,6.3918,46.62,145480,11244,500746,8100,180.45,103.87,8100,10885
2015/8/17,10850,179.3,142.3,6.3947,45.96,147840,11250.67,503522,8100,179.4,103.49,8100,10850
2015/8/18,10835,177.4,138,6.3938,45.77,148700,11170.67,495036,8100,178.65,103.94,8100,10805
2015/8/19,10760,172,140,6.3955,45.39,151820,11137.33,569124,8100,177.75,104.99,8100,10820
2015/8/20,10825,173.5,139,6.389,44.13,151670,11080,472882,8100,177.05,104.46,8100,10815
2015/8/21,10815,172.3,140.1,6.3887,43,152220,11073.33,622988,8100,174.7,103.57,8100,10810
2015/8/24,10425,165.5,132.7,6.4044,40.67,151160,10994,786164,8100,169.9,100.36,8100,10165
2015/8/25,10115,159.4,131.8,6.4124,40.47,151680,10930,793872,8100,167.9,99.81,8100,10010
2015/8/26,10125,163.3,130.2,6.4105,40.51,151030,10884,601832,8100,169.3,98.81,8100,9975
2015/8/27,10075,163.9,129.3,6.4053,42.37,152040,10860.67,570098,8100,169.55,99.59,8100,10155
2015/8/28,10340,169.1,129.6,6.3885,45.19,152690,10857.33,668090,7000,169.55,100.09,9000,10275
2015/8/31,10185,165,129.1,6.3763,47.01,151610,10810.67,521694,7000,169.65,100.83,9000,10085
2015/9/1,10080,164.2,132.3,6.3645,47.8,151270,10806.67,476320,7000,169.8,100.83,9000,10100
2015/9/2,10020,160.8,130,6.3559,45.56,152800,10779.33,455720,7000,168.35,99.81,9000,9995
2015/9/7,10140,156.5,130.4,6.3659,45.59,151990,10735.33,512948,7300,166.3,96.11,7300,10180
2015/9/8,10205,155.9,130.9,6.3672,45.38,156940,10718.67,558390,7000,167.4,94.82,7000,10255
2015/9/9,10420,162.9,132.9,6.3778,45.96,157100,10782,1035480,7000,168.95,96.59,7000,10355
2015/9/10,10275,160.7,133,6.3772,44.83,158790,10743.33,805604,7000,168.2,96.75,7000,10400
2015/9/11,10560,165.7,201.3327889,6.375,44.64,158280,10766,1357480,7000,169.45,98.94,7000,10530
2015/9/14,10535,164,133.4,6.3679,43.85,157090,10793.33,968430,7300,170.25,99.06,7300,10450
2015/9/15,10355,154.6,132,6.37,43.13,157320,10757.33,943028,7300,169.35,98.35,7300,10335
2015/9/16,10505,157,132.8,6.3709,44.57,157980,10738,1093934,7300,169.15,98.35,7300,10525
2015/9/17,10595,163.5,133.9,6.366,45.1,159300,10758,1289646,7300,169.9,99.29,7300,10590
2015/9/18,10555,159.1,133,6.3643,44.34,158610,10758,1083658,7300,171.4,99.16,7300,10515
2015/9/21,10475,213.0924094,131.2,6.3691,43.81,157880,10656.67,816410,7300,170.65,98.8,7300,10635
2015/9/22,10535,213.0924094,131,6.376,43.84,158010,10756.67,733062,7300,170.65,97.51,7300,10500
2015/9/23,10435,213.0924094,130.5,6.3839,44.69,157410,10691.33,877426,6900,169.8,95.69,7000,10495
